employees,avg_monthly_income,annual_tax,premises_area,downtime_months,direct_loss,indirect_loss
107,49230.44697555406,229922.39901133862,915.6735950952407,3,9172871.777585415,15257154.824291129
184,16227.703910237316,77887.47683671433,319.13772003971724,4,3201309.090486631,11415877.322508285
97,19026.583322082202,94426.11529920352,75.95074408916513,11,820285.3005333982,20889806.175573733
19,18471.925995260106,246780.71573486048,672.6001330561699,5,6118626.615927856,1854396.1565244964
111,41701.59070485347,258962.83029498858,622.7430195544389,5,6268827.221080782,23795697.09464253
76,17476.291858004726,186297.70727257413,76.05733032812375,10,787090.9332580717,13540096.262814717
193,12666.393192932244,188613.80696665982,166.54365274246305,4,1698213.8857449275,9637330.275417909
25,49942.432263425144,207983.24071286112,605.4666193091863,3,5610828.431961454,3631786.8645552504
107,10992.688457805965,159778.94357065987,916.2359008413173,1,8640325.947173925,1268306.8769190428
126,43409.762406354625,220049.78087097598,911.1752626877366,9,9238516.657320293,49947320.95955392
79,24614.673662026114,77120.31439160393,193.9108018814711,7,1712677.1742502397,14465844.912503097
92,43664.61839031261,290319.8105918466,415.3452490849871,11,4043476.5445329947,45510037.66954146
121,32184.8196484458,237538.70594873044,91.04272113456531,3,854424.1541319994,11527913.803099671
104,46065.249179454404,207793.55100225174,495.80825404478264,1,5005846.143358673,4708907.938595637
108,47047.719456585066,129080.51425237017,765.4292866895454,11,7594133.187567603,53766979.507697746
156,10363.92725123104,90238.87186418229,800.4740757973309,12,8156443.944833728,20730003.490562417
135,13016.48703971153,152335.74095723615,524.0399932667443,8,5013178.061940663,15152480.128139652
154,20014.34918283422,215394.18514351462,141.07619097280747,6,1429485.1366213833,18315099.756996583
57,36772.61665454006,208427.43585577773,412.2957764224881,10,4123721.8095192495,21833295.061376233
6,45530.88786046024,145660.28876639286,935.4968619756462,1,8953281.589845419,280297.4892340012
92,28397.67805175851,203321.59845828245,268.1319286937289,10,2828097.9598429473,24342159.126296654
162,34278.92465097061,253437.0738918869,353.7667274170902,9,3661351.862869989,48738884.292038314
42,17539.994111822445,56571.19308440176,759.4858166899173,9,7352585.102615847,6915545.368638286
134,42198.67335526741,162655.26198256892,746.9017494416412,11,7174856.127714936,65506554.27394471
196,48693.12445413879,239638.80711669775,916.5921736236858,6,9591537.957518928,57374248.63382001
192,20743.9573165839,186536.1176158443,418.71275618435664,3,3849643.688757923,11585366.83982698
25,29793.038064021854,212869.0219822675,538.8687876805766,10,5040411.653738318,7196024.10001247
165,13444.644420254952,179169.0981513355,494.0228381594537,3,5058810.057812794,6594057.889713024
62,32365.466258518736,297968.6361705777,931.3645624713305,7,10158875.789391462,14046064.3721184
26,30111.337673867223,63655.38412225956,780.8640593834031,11,7572674.886922584,8561959.0793851
93,15777.459366203104,172761.2054430943,839.8696908421558,3,8193042.7187642865,4184610.7449304243
53,27682.648524723,72854.13727862942,176.44335538794036,9,1745058.0610554256,13494718.005089123
63,23364.18608346253,89946.3905283926,802.2543582247519,11,7832593.677551731,16354769.980652133
174,30873.235012207573,145759.58760456546,461.3298277546221,3,4514707.924751513,15926393.82820687
192,33426.173417151964,88885.02287512182,72.17174868911475,2,699594.1531303073,12852184.301833829
19,10339.82314428838,290921.7914891628,107.08393510612038,10,1080877.6894824037,2265801.7950629164
194,40440.23931798221,286697.44418128976,694.0125427481023,6,7180869.882321415,48521849.75402995
194,38520.57167446963,134027.41155515093,403.4118190886714,9,4066016.474459816,71602691.61632061
179,24651.455448260887,209936.92800941988,874.7097945623065,11,8676105.806269165,51838568.21890205
194,12117.43742275273,183438.33014844652,747.5594771820731,3,7248477.484962431,7281365.060161871
55,40197.301591402014,253896.74512894216,70.59601108361367,4,664450.4459172772,8856695.674899895
112,48207.0064191253,206861.40245423556,702.5438962442018,11,6569228.930630936,57658020.40100249
59,19606.063840880568,50063.11362264053,232.7348490957384,1,2153003.3299266854,1210760.752807709
68,22940.984549481516,240793.59640243472,451.45344026871646,3,4657135.619181515,4459737.87257341
135,17352.5155792726,236712.03032402953,643.4984420168146,11,6247629.076054162,26096881.852764018
55,33077.44493379359,177430.67639162025,879.0819492309082,2,8965327.50844813,3496747.094220195
139,16193.655785898198,275729.7433082635,483.29299397234223,1,4660382.18255309,2384951.6010890966
25,24247.757738455177,277111.5514226004,818.0659314815776,1,8150707.350416962,654761.3927603916
77,37880.52055737052,180977.9191760993,793.8173796606012,3,7803697.784489526,8808775.494218333
171,32404.639320373935,201997.0577991344,443.8115872086954,7,4787274.565859982,44544703.31132812
22,25458.50257311741,299130.5179811681,525.9311552612578,7,5134054.115331607,3943116.135178987
136,26809.984072301675,124705.05870285438,715.4607595473225,10,7455883.513108913,37383291.51524738
93,32484.43530492918,131154.31057786936,79.59101291459274,10,740320.2411371425,31160409.79279564
64,10234.589115486451,95693.47566587408,896.2708431092836,1,9569438.886891669,670902.5106669378
18,13140.394738144394,273966.73478946695,781.3253514658088,1,8137237.96092969,255759.06825267235
13,45250.322710520464,236122.09748731655,286.9450873322139,10,2785142.571307035,6113302.581823309
94,13115.15956365163,76410.71221756047,982.1209555295268,2,9525115.87950378,2698940.7368184673
57,38272.14384842021,295441.8377994914,220.42083496013782,7,2335625.763676027,15479283.777344113
134,46801.5265643621,232740.427040279,918.3823400191817,7,9611241.696639795,45473388.78091864
88,20827.344172069243,262630.5274012436,358.2497854069556,11,3540223.3850820516,18762829.47994804
96,24819.65748238057,62037.69729330023,774.989374655929,8,7416749.362545959,18964506.577152412
115,32756.85623378865,176240.2297355419,483.55776358554783,1,5095705.443398952,4213981.792008783
192,45268.35878554339,224649.57168175981,749.6440180775021,8,7319581.456678205,67932631.13890915
176,47676.22349041681,185736.64614296032,197.99389554239795,6,2013156.9693355162,49039685.433091745
12,39582.52992445072,216661.86642481937,306.03113546715866,3,2973114.5302768988,1607633.88546273
179,13464.790434187762,254468.51589761814,144.86493324842434,3,1432738.145519171,7072425.319925674
39,36766.16622139403,143584.26574004904,871.886782365913,6,9549013.042453524,8359836.010389742
85,26412.14887490648,262167.16890467744,331.47833838102434,2,3302091.590170958,4693303.189040005
168,28828.039979642464,90729.02619132269,709.7524179458303,9,7608014.926820361,48850618.697215885
54,11965.935613807082,117721.51375659369,829.2101378544518,10,7661028.917177188,6861478.965837183
108,17642.485573854327,60836.404981831445,906.3473245603786,9,8277990.663175775,17254798.904972065
136,41620.54430134591,141106.7028338128,150.98225954613193,5,1553832.9492757448,30267212.657973055
6,28158.35332191439,144977.3862060301,898.3641868369818,2,8638110.633619536,358611.84988118266
138,22066.489665245954,251317.64930181272,237.3901388441835,7,2371100.2765596025,20925276.470462546
58,25360.762958598327,213282.667572414,750.0569110114135,2,6705686.887502849,3200544.316059745
110,44175.98053302721,159180.63953891664,742.4065683963806,2,6669728.567038163,10391306.227154296
8,39959.96069619828,213028.49465593704,58.077984653906526,6,581193.9481898753,1988202.2561997962
58,20892.61588724331,63195.83762892279,259.59271289474157,2,2533050.2896089754,2560703.300154584
195,14700.073608494931,95067.88400459403,517.313088931624,3,5086450.249828816,9185280.05250592
150,20079.928865762868,206736.96381043876,449.032971330118,10,4864880.64772916,30061836.569122527
48,46830.25804218935,210341.70480632555,922.6448058903791,8,9446130.34085257,18272570.532064896
166,33263.55351399021,243533.66467685677,391.753826027397,1,4337661.316040063,5213567.256675282
194,31339.208349791315,150749.93976340053,940.1345290941642,9,9436967.154724816,54798236.69037019
18,33855.74398769846,230638.52415403904,486.45785247290456,7,5228211.271350542,4270985.796442264
99,24641.13062986061,220995.08314004735,966.1352518081575,11,10136406.94641349,26759939.784757514
52,42284.28081278051,290848.3445924623,750.4870695236181,2,7315171.710586795,4153775.252064711
19,30931.449972009992,103782.55660616979,837.8678620505482,11,8306316.118147557,6990501.974501007
194,14669.916110751823,187919.89093815986,149.63304393155096,10,1469791.2673409807,30167942.24299199
44,15162.604993162518,200441.11052761733,606.8343615802494,8,6394332.097367299,5829706.992110768
86,31474.365860104735,299661.9712335552,185.56534183788327,5,1881268.385630855,13685662.303577293
115,47462.808722833564,100296.03554166292,332.73995194842536,3,3174414.0726465452,16144427.31561736
57,22334.08486704795,180804.50499182305,642.3871358589047,8,6010346.707738826,10461778.056549866
28,44781.64675436873,136546.32692840972,739.9144194591962,8,6935546.081210006,10309917.79906812
158,40563.823463155175,181473.24214474997,87.2245929106883,12,833184.5936525417,82847975.73601498
192,19912.497716276273,108032.15052577648,554.3965445187464,11,5281061.130437556,42542707.93451362
128,11453.6299326497,61903.09460687203,587.0482869753921,7,5516209.401020145,10358038.93048544
45,14073.89060569531,193141.36347442222,124.88659725469111,1,1318903.3156401545,675386.2048305414
161,39139.75735389761,133963.57896520803,525.6536324907254,3,4854291.794625396,17177123.771483395
19,17986.78952162587,95485.35043710841,728.1501660473352,2,7429068.32720799,751575.3718109421
49,24850.83682021575,130983.89151950844,100.56592063175441,2,1120315.1968566014,2550469.3589296993
69,30067.966640256993,62320.05036193623,772.2543875077639,11,7756159.306735215,23408896.359678008
93,39018.72673800652,287610.5585225258,597.60517965893,9,6003033.426095237,33924409.45433651
75,14529.248930365015,195286.97874331512,841.5658478582013,5,8511551.048023924,5787909.274367883
13,26254.65621109846,253692.17033675621,257.15944421136646,9,2381717.742180828,3695094.5883957404
92,29402.916365707817,155779.5493869326,841.6100000024625,11,8598443.495156249,29368478.67075835
133,31633.082558861588,275828.66689154645,139.8329265040946,11,1421768.3497915003,49226273.47106925
140,42734.42565580866,170829.55538806334,433.6382116224378,4,4327555.39081624,24516086.834480826
67,16867.127801728675,193486.33055016736,239.51055194841607,3,2192807.159899422,3308101.5895442595
143,42313.25807306489,172948.4950156642,882.2197906763304,11,9657385.196485767,70596116.73414257
85,37715.13710786609,233319.5739669129,719.6738254866851,8,7282149.017307492,26290899.110215656
140,32234.832567958372,191664.0194005156,74.09368830269177,11,695643.2310131829,50817868.623440035
167,37981.114816102876,117899.73089509943,59.04718783325831,4,560808.5364033642,25744989.8790822
167,26480.709558066257,86384.88283066158,326.6867917575862,5,3139892.408961231,22687100.629571326
37,15535.903438724983,201531.0972207444,186.11895856653712,5,2008937.1692634951,3089517.5477282987
127,36630.609610614694,172294.99038675905,648.789253682186,8,6447720.819075999,36595900.08900387
9,30986.89226742489,73993.92417402825,680.6070871884318,9,6764050.360250559,2561819.1774691865
45,35574.99202171102,148904.3664483171,944.8533584782991,3,9198213.575536193,5105729.297303702
32,23519.9512411396,178694.1055001134,954.4379283185488,11,10033759.970404116,8050600.237437632
139,46274.66309359344,256723.3084563975,675.9518701407783,11,7123827.049306465,74913076.95477253
76,33494.79474302308,69025.26395834058,55.39135721007328,6,512003.7506233648,15345830.93752652
